horizon,alg_index,hardware_spec,embedding_index,acc
3,0,fake_algiers,0,0.8462858818
3,0,fake_algiers,1,0.8470456622
3,0,fake_algiers,2,0.839282372
3,0,fake_algiers,3,0.844978353
3,0,fake_algiers,4,0.8494891378
3,0,fake_algiers,5,0.8468324144
3,0,fake_hanoi,0,0.8477472992
3,0,fake_hanoi,1,0.8477624578
3,0,fake_hanoi,2,0.8448189866
3,0,fake_hanoi,3,0.848681777
3,0,fake_hanoi,4,0.839315897
3,0,fake_hanoi,5,0.840704
3,0,fake_hanoi,6,0.8448678858
3,0,fake_cairo,0,0.8474009866
3,0,fake_cairo,1,0.8433069002
3,0,fake_cairo,2,0.7660749374
3,0,fake_cairo,3,0.741059717
3,0,fake_cairo,4,0.8448416125
3,0,fake_cairo,5,0.741059717
3,0,fake_cairo,6,0.8474894898
3,0,fake_cairo,7,0.847988365
3,0,fake_cairo,8,0.8414111866
3,0,fake_cairo,9,0.847988365
3,0,fake_cairo,10,0.8473948942
3,0,fake_cairo,11,0.847988365
3,0,fake_mumbai,0,0.8410454378
3,0,fake_mumbai,1,0.8386728848
3,0,fake_mumbai,2,0.8319408918
3,0,fake_mumbai,3,0.8269006818
3,0,fake_mumbai,4,0.8409655162
3,0,fake_kolkata,0,0.8495691254
3,0,fake_kolkata,1,0.8449830678
3,0,fake_kolkata,2,0.8183800521
3,0,fake_kolkata,3,0.83877876
3,0,fake_kolkata,4,0.848743651
3,0,fake_auckland,0,0.845590237
3,0,fake_auckland,1,0.8489916486
3,0,fake_auckland,2,0.8461713694
3,0,fake_auckland,3,0.8456761858
3,0,fake_auckland,4,0.84785996
3,0,fake_geneva,0,0.838904037
3,0,fake_geneva,1,0.825392073
3,0,fake_geneva,2,0.753199645
3,0,fake_geneva,3,0.7635104728
3,0,fake_geneva,4,0.839106583
3,0,fake_montreal,0,0.825247005
3,0,fake_montreal,1,0.8300961786
3,0,fake_montreal,2,0.827285504
3,0,fake_montreal,3,0.8463249656
3,0,fake_montreal,4,0.837437667
3,0,fake_montreal,5,0.8463249656
3,0,fake_paris,0,0.829577077
3,0,fake_paris,1,0.840468545
3,0,fake_paris,2,0.8396833226
3,0,fake_paris,3,0.843953667
3,0,fake_paris,4,0.8417814118
3,0,fake_paris,5,0.8419798883
3,0,fake_sydney,0,0.8103374794
3,0,fake_sydney,1,0.8344290376
3,0,fake_sydney,2,0.8418794206
3,0,fake_sydney,3,0.8109960824
3,0,fake_sydney,4,0.8454610888
3,0,fake_sydney,5,0.8239004086
3,0,fake_toronto,0,0.815679785
3,0,fake_toronto,1,0.843934632
3,0,fake_toronto,2,0.7944635277
3,0,fake_toronto,3,0.840450092
3,0,fake_toronto,4,0.837143709
3,0,fake_toronto,5,0.845001557
3,0,fake_valencia,0,0.8365953674
3,0,fake_valencia,1,0.8365953674
3,0,fake_valencia,2,0.8185539418
3,0,fake_valencia,3,0.8314125992
3,0,fake_athens,0,0.8359496286
3,0,fake_athens,1,0.8359496286
3,0,fake_athens,2,0.8458834568
3,0,fake_belem,0,0.8239751862
3,0,fake_belem,1,0.8303906562
3,0,fake_belem,2,0.836166116
3,0,fake_belem,3,0.8385457534
3,0,fake_bogota,0,0.829263387
3,0,fake_bogota,1,0.8265596478
3,0,fake_bogota,2,0.829263387
3,0,fake_bogota,3,0.8303764362
3,0,fake_burlington,0,0.8184883775
3,0,fake_burlington,1,0.8184883775
